"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"
74	9955.5446	"plough"	"plough"	"plough"	"grain"	619338.5175	7087995.38	"4145"
75	1417.0468	"grass"	"grass"	"plough"	"plough"	616898.6238	7086940.25	"4160"
76	1125.51915	"grass"	"grass"	"plough"	"plough"	616939.0446	7086977.926	"4161"
77	2706.90425	"grass"	"grass"	"grass"	"grass"	617531.595	7087778.332	"4166"
78	2764.02565	"grass"	"grass"	"grass"	"grass"	617501.5938	7087451.966	"4167"
79	43087.52105	"grass"	"grass"	"grass"	"grass"	618019.865	7087726.992	"4169"
80	749.2682	"grass"	"grass"	"grass"	"grass"	618029.7071	7087858.055	"4170"
81	6377.4112	"grass"	"grass"	"grass"	"grass"	618178.5517	7087872.702	"4171"
82	6634.2672	"grass"	"grass"	"grain"	"grain"	618292.09	7087837.382	"4172"
83	23993.96355	"stubble"	"plough"	"grain"	"grain"	618481.33	7087964.199	"4176"
84	16508.5856	"grass"	"grass"	"grain"	"grain"	618855.0788	7087854.89	"4177"
85	32420.9298	"stubble"	"stubble"	"grain"	"grain"	619609.2675	7087936.243	"4183"
86	886.73075	"stubble"	"stubble"	"stubble"	"stubble"	619426.7644	7087360.27	"4187"
87	17449.55665	"stubble"	"stubble"	"plough"	"plough"	619621.467	7087070.407	"4188"
88	39819.25025	"grass"	"plough"	"grain"	"grain"	619570.18	7086295.727	"4194"
89	5719.80505	"grass"	"grass"	"grass"	"grass"	619480.92	7086420.084	"4203"
90	153735.8734	"grass"	"plough"	"grain"	"grain"	619701.745	7085604.228	"4207"
91	67952.64225	"plough"	"plough"	"grain"	"grain"	619685.0312	7086153.813	"4209"
92	4632.1584	"grass"	"grass"	"grass"	"grass"	616609.87	7087309.396	"4213"
93	13472.0514	"grass"	"grass"	"grass"	"grass"	617210.1025	7087044.59	"4218"
94	979.6835	"grass"	"grass"	"grass"	"grass"	617133.9095	7087027.959	"4219"
95	25804.90215	"plough"	"plough"	"grain"	"grain"	616495.665	7086923.274	"4227"
96	7523.27915	"grass"	"grass"	"grass"	"grass"	616519.2783	7087196.006	"4228"
97	3433.6586	"grass"	"grass"	"grass"	"grass"	617174.875	7087141.178	"4229"
98	2359.7602	"grass"	"grass"	"grass"	"grass"	616556.7635	7087260.528	"4232"
99	45176.758	"grass"	"plough"	"plough"	"grain"	617009.9524	7086836.7	"4236"
100	1950.77555	"plough"	"plough"	"grain"	"grain"	619147.3241	7087930.243	"4244"
101	2732.5801	"stubble"	"plough"	"grain"	"grain"	619082.6943	7087827.25	"4249"
102	2104.62915	"plough"	"plough"	"plough"	"grain"	619137.0295	7088010.562	"4251"
103	7043.0902	"grass"	"grass"	"grain"	"grain"	618813.5018	7087757.047	"4252"
104	25007.70115	"grass"	"grass"	"grain"	"grain"	618287.065	7087757.357	"4265"
105	1448.6075	"grass"	"grass"	"grass"	"grass"	617570.9797	7087567.269	"4267"
106	1391.52145	"grass"	"grass"	"grass"	"grass"	618281.0425	7087585.873	"4268"
107	3249.55845	"grass"	"grass"	"grain"	"grain"	618987.1652	7087753.528	"4275"
108	4053.1632	"grass"	"grass"	"grass"	"grass"	617963.32	7087809.049	"4280"
109	2069.4399	"grass"	"grass"	"grass"	"grass"	617459.755	7087663.425	"4284"
110	2245.01425	"grass"	"grass"	"grass"	"grass"	617902.5425	7087836.275	"4296"
111	3535.968	"grass"	"grass"	"grass"	"grass"	617517.3125	7087598.688	"4300"
112	8846.58925	"grass"	"grass"	"grass"	"grass"	617901.49	7087778.897	"4307"
113	23913.07755	"grass"	"grass"	"grain"	"grain"	618331.595	7087879.916	"4309"
114	1320.38275	"grass"	"grass"	"plough"	"plough"	616793.7111	7086991.108	"4322"
115	85285.1036	"grass"	"grass"	"plough"	"plough"	616931.07	7087288.225	"4323"
116	50526.633	"grass"	"grass"	"grass"	"grass"	617280.3225	7087860.367	"4324"
117	6331.6453	"grass"	"grass"	"grass"	"grass"	617469.69	7087713.174	"4325"
118	6075.05415	"grass"	"grass"	"grass"	"grass"	617514.4097	7087525.054	"4326"
119	2293.2298	"stubble"	"plough"	"grain"	"grain"	618412.9275	7087777.025	"4327"
120	2744.326	"grass"	"grass"	"grain"	"grain"	618568.8275	7088147.462	"4329"
121	13333.23185	"stubble"	"stubble"	"plough"	"grain"	619389.6421	7087845.532	"4331"
122	68085.1743	"grass"	"grass"	"grass"	"grass"	619726.0588	7087193.206	"4334"
123	11.861475	"grass"	"plough"	"grass"	"grass"	619398.5333	7087308.013	"4341"
124	136.077	"stubble"	"plough"	"grain"	"grain"	619422.56	7085928.922	"4343"
125	36830.1213	"grass"	"grass"	"grain"	"grain"	618716.3489	7088215.423	"4348"
126	8246.6722	"grass"	"grass"	"grass"	"grass"	619756.9075	7086890.327	"4367"
127	5787.1397	"grass"	"grass"	"grass"	"grass"	621066.2987	7086602.053	"4375"
128	9728.1463	"grass"	"grass"	"grass"	"grass"	620516.3801	7086457.313	"4377"
129	3311.37805	"grass"	"grass"	"grass"	"grass"	620031.8895	7086423.387	"4378"
130	9954.1612	"grass"	"grass"	"grass"	"grass"	619685.4167	7086431.564	"4380"
131	5197.24945	"grass"	"grass"	"grass"	"grass"	621292.0775	7086602.625	"4381"
132	13155.55085	"grass"	"grass"	"grass"	"grass"	620510.2142	7086904.581	"4388"
133	5478.8119	"grass"	"grass"	"grass"	"grass"	621100.1627	7086931.496	"4390"
134	61625.85705	"grass"	"grass"	"grass"	"grain"	620203.7	7087119.225	"4393"
135	91261.0041	"grass"	"grass"	"grass"	"grain"	620270.335	7087410.924	"4394"
136	3717.146	"grass"	"plough"	"grass"	"grass"	619574.51	7087586.244	"4399"
137	5368.5772	"grass"	"grass"	"grass"	"grass"	619898.0266	7086715.178	"4400"
138	5190.21265	"grass"	"grass"	"grass"	"grass"	620253.0475	7086180.627	"4404"
139	8521.5892	"grass"	"grass"	"grass"	"grass"	620149.875	7085860.625	"4407"
140	2778.1246	"stubble"	"stubble"	"grain"	"grain"	619520.755	7087929.277	"4415"
141	1863.88695	"grass"	"grass"	"grass"	"grass"	620276.86	7087629.159	"4418"
142	3906.81875	"stubble"	"stubble"	"stubble"	"stubble"	620100.2825	7087491.83	"4420"
143	2455.72145	"grass"	"grass"	"grass"	"grass"	619659.7975	7087211.43	"4425"
144	6698.7609	"grass"	"grass"	"grass"	"grass"	619619.3631	7087010.339	"4430"
145	12261.64905	"grass"	"grass"	"grass"	"grass"	620364.1214	7087118.616	"4433"
146	3079.11085	"grass"	"grass"	"grass"	"grass"	620089.6025	7086539.328	"4434"
147	2541.7682	"grass"	"grass"	"grass"	"grass"	619852.225	7086607.85	"4436"
148	3912.68195	"grass"	"grass"	"grass"	"grass"	619787.6739	7086569.842	"4437"
149	23086.6236	"grass"	"grass"	"grass"	"grass"	619970.88	7086461.114	"4438"
150	7121.81835	"grass"	"grass"	"grass"	"grass"	619608.79	7086389.441	"4441"
151	6862.45135	"grass"	"grass"	"grass"	"grass"	620509.1224	7086575.749	"4446"
152	8470.13085	"grass"	"grass"	"grass"	"grass"	621272.715	7086671.43	"4447"
153	3079.0282	"grass"	"grass"	"grass"	"grass"	620987.3138	7086937.974	"4448"
154	23600.07935	"grass"	"grass"	"grass"	"grass"	620764.525	7087101.929	"4450"
155	6256.6877	"grass"	"grass"	"grass"	"grass"	621214.9154	7087863.041	"4453"
156	2624.60775	"grass"	"grass"	"grass"	"grass"	621428.2836	7087050.874	"4457"
157	20053.3997	"grass"	"grass"	"grass"	"grass"	621345.0675	7086767.534	"4458"
158	23447.37975	"grass"	"plough"	"plough"	"grain"	619467.615	7088072.303	"4464"
159	7568.06955	"stubble"	"stubble"	"plough"	"plough"	620030.8639	7088245.709	"4465"
160	4593.4623	"plough"	"plough"	"plough"	"grain"	620557.1574	7088341.318	"4466"
161	11996.51225	"grass"	"grass"	"grass"	"grass"	620039.38	7086223.762	"4474"
162	1833.3609	"grass"	"grass"	"grass"	"grass"	619985.07	7086349.065	"4480"
163	2081.79755	"stubble"	"stubble"	"grain"	"grain"	619790.1275	7087531.084	"4524"
164	3212.42355	"grass"	"grass"	"grass"	"grass"	620901.9553	7087658.223	"4529"
165	13694.97025	"grass"	"grass"	"grass"	"grass"	621068.28	7087637.517	"4530"
166	1278.62815	"grass"	"grass"	"grass"	"grass"	620992.235	7087760.226	"4533"
167	12535.85605	"grass"	"grass"	"grass"	"grain"	619976.46	7087254.165	"4544"
168	8155.15785	"grass"	"grass"	"grass"	"grass"	620784.8359	7087237.464	"4553"
169	2431.76595	"grass"	"grass"	"grass"	"grass"	620471.8675	7086842.248	"4563"
170	2178.63775	"plough"	"plough"	"plough"	"grain"	619937.42	7087692.517	"4575"
171	33284.451	"stubble"	"stubble"	"stubble"	"plough"	621026.4075	7086864.223	"4583"
172	13528.46945	"grass"	"grass"	"grass"	"grass"	621483.745	7087089.436	"4595"
173	1520.09	"grass"	"grass"	"grass"	"grass"	621525.725	7087028.936	"4596"
174	4003.249	"grass"	"grass"	"grass"	"grass"	620525.75	7086515.89	"4614"
175	6663.73275	"grass"	"grass"	"grass"	"grass"	620568.8988	7086416.236	"4616"
176	5895.61915	"grass"	"grass"	"grass"	"grass"	619708.8875	7086484.486	"4619"
177	7481.7478	"grass"	"grass"	"grass"	"grass"	619816.905	7086477.113	"4623"
178	3643.10965	"grass"	"grass"	"grass"	"grass"	620458.05	7086522.245	"4624"
179	18365.9175	"grass"	"grass"	"grass"	"grass"	621160.015	7086611.455	"4626"
180	28615.2698	"plough"	"plough"	"plough"	"grain"	620398.5	7088238.573	"4658"
181	7636.42335	"grass"	"grass"	"grass"	"grass"	621052.675	7086992.524	"4666"
182	5460.6124	"grass"	"grass"	"grass"	"grass"	620818.7978	7086885.471	"4668"
183	4326.44675	"grass"	"grass"	"grass"	"grass"	620088.325	7086503.258	"4669"
184	19548.53935	"grass"	"grass"	"grass"	"grass"	620984.16	7087590.031	"4674"
185	10857.7921	"grass"	"grass"	"grass"	"grass"	621013.21	7087716.598	"4675"
186	37092.8217	"grass"	"grass"	"grass"	"grass"	619843.155	7087365.331	"4679"
187	46321.5776	"grass"	"grass"	"grass"	"grass"	619863	7087882.658	"4680"
188	6641.4343	"grass"	"grass"	"grass"	"grass"	620664.1	7086102.04	"4718"
189	13385.99745	"grass"	"grass"	"grass"	"grass"	619810.635	7086145.038	"4719"
190	249039.2627	"grass"	"grass"	"grass"	"grass"	620008.7956	7085909.474	"4720"
191	53622.7408	"plough"	"plough"	"grain"	"grain"	619611.4567	7088208.86	"4731"
192	8585.7841	"grass"	"grass"	"grass"	"grass"	619727.2575	7088154.588	"4732"
193	3642.75615	"potato"	"potato"	"plough"	"grain"	620328.095	7088265.522	"4734"
194	26684.04275	"grass"	"grass"	"grass"	"grass"	620435.2216	7087361.606	"4735"
195	2944.93295	"stubble"	"stubble"	"grain"	"grain"	619691.2375	7087518.192	"4737"
196	5954.40165	"stubble"	"stubble"	"stubble"	"stubble"	619688.9746	7087697.17	"4738"
197	1090.78255	"plough"	"grain"	"grain"	"grain"	619527.3876	7087548.242	"4739"
198	2348.4994	"stubble"	"stubble"	"plough"	"grain"	619556.62	7087382.579	"4741"
199	10506.78935	"grass"	"grass"	"grass"	"grass"	620028.5725	7086703.375	"4743"
200	6405.9524	"grass"	"grass"	"grass"	"grass"	621106.425	7086520.001	"4746"
201	51425.65965	"grass"	"grass"	"grass"	"grass"	619852.735	7088019.367	"4761"
202	14617.81035	"grass"	"grass"	"grass"	"grass"	621222.425	7087648.724	"4764"
203	31569.17645	"grass"	"grass"	"grass"	"grass"	619983.415	7087066.555	"4765"
204	31.022324	"grass"	"grass"	"grass"	"grass"	620808.357	7085110.8	"4773"
205	41002.55306	"grass"	"grass"	"grass"	"grass"	620729.97	7084794.403	"4774"
206	12591.22304	"grass"	"grass"	"grass"	"grass"	620734.515	7085171.039	"4777"
207	628.514914	"grass"	"grass"	"grass"	"grass"	620837.785	7084719.076	"4778"
208	6528.857914	"grass"	"grass"	"grass"	"grass"	620753.415	7085024.856	"4780"
209	13658.3002	"grass"	"grass"	"grass"	"grass"	620042.9725	7085646.606	"4814"
210	4973.5224	"grass"	"grass"	"grass"	"grass"	620241.835	7085678.591	"4815"
211	9626.7422	"grass"	"grass"	"grass"	"grass"	620273.7025	7085548.472	"4821"
212	20.109806	"grass"	"grass"	"grass"	"grass"	620811.9817	7085094.817	"4838"
213	3756.207018	"grass"	"grass"	"grass"	"grass"	620700.2061	7084857.444	"4842"
214	32449.76895	"stubble"	"plough"	"grain"	"grain"	617686.6075	7092488.19	"4852"
215	120024.7084	"stubble"	"plough"	"grain"	"grain"	617251.0616	7093052.702	"4853"
216	203315.092	"plough"	"plough"	"grain"	"grain"	618282.7142	7092955.674	"4867"
217	7780.0781	"stubble"	"plough"	"grain"	"grain"	619266.645	7092006.416	"4872"
218	228757.8919	"plough"	"plough"	"plough"	"grain"	617504.2574	7090783.205	"4884"
219	3087.3101	"grass"	"grass"	"grass"	"grass"	617522.885	7091631.002	"4935"
220	6758.62465	"grass"	"grass"	"grass"	"grass"	617645.8625	7091731.104	"4936"
221	1772.2351	"grass"	"grass"	"grass"	"grass"	617488.8618	7092187.797	"4938"
222	7952.4969	"stubble"	"stubble"	"plough"	"plough"	618042.555	7092074.453	"4940"
223	11515.92935	"grass"	"grass"	"grass"	"grass"	618953.6075	7091351.201	"4946"
224	5184.8181	"plough"	"plough"	"grain"	"grain"	619283.575	7091675.302	"4947"
225	2339.30295	"grass"	"grass"	"grass"	"grass"	618778.22	7091807.507	"4950"
226	1235.77845	"stubble"	"plough"	"grain"	"grain"	618769.607	7092435.867	"4967"
227	4987.74205	"grass"	"grass"	"grass"	"grass"	618685.395	7092435.117	"4968"
228	1485.8961	"plough"	"plough"	"grain"	"grain"	618714.7875	7092480.609	"4969"
229	1728.83175	"plough"	"plough"	"plough"	"grain"	618676.318	7092514.772	"4970"
230	156389.2231	"plough"	"plough"	"grain"	"grain"	618462.6575	7092373.133	"4973"
231	37148.84555	"grass"	"plough"	"grain"	"grain"	617989.32	7092474.758	"4974"
232	3688.5055	"grass"	"grass"	"grain"	"grain"	617502.505	7092735.332	"4976"
233	9665.9428	"stubble"	"plough"	"grain"	"grain"	616728.6	7092818.204	"4979"
234	17615.05835	"stubble"	"plough"	"plough"	"grain"	617425.0267	7091689.89	"4996"
235	37605.8082	"grass"	"grass"	"grass"	"grass"	617528.66	7091763.184	"5000"
236	37901.3586	"stubble"	"stubble"	"grain"	"grain"	617090.225	7092791.281	"5004"
237	33226.23325	"plough"	"grain"	"grain"	"grain"	617414.0279	7092512.09	"5008"
238	170880.845	"stubble"	"plough"	"grain"	"grain"	618012.3225	7092876.976	"5018"
239	24421.87	"grass"	"grass"	"grass"	"grass"	617751.5	7092746.463	"5019"
240	9429.89445	"plough"	"plough"	"grain"	"grain"	617572.0625	7092568.601	"5027"
241	21317.33365	"plough"	"grain"	"grain"	"grain"	619359.625	7092875.242	"5041"
242	375459.0199	"stubble"	"plough"	"grain"	"grain"	619715.675	7092256.446	"5044"
243	118583.7772	"grass"	"grass"	"grass"	"plough"	617593.71	7093252.481	"5046"
244	8643.82315	"grass"	"grass"	"grain"	"grain"	617433.22	7092792.53	"5047"
245	8405.9767	"plough"	"plough"	"grain"	"grain"	618514.1669	7092161.257	"5053"
246	7617.98305	"grass"	"grass"	"grass"	"grass"	618826.895	7092043.58	"5066"
247	18059.5379	"stubble"	"plough"	"grain"	"grain"	619268.2125	7092309.463	"5067"
248	70629.6103	"stubble"	"plough"	"grain"	"grain"	619359.2025	7090917.438	"5072"
249	14940.79185	"stubble"	"plough"	"grain"	"grain"	619316.4725	7091065.105	"5073"
250	31997.84125	"plough"	"plough"	"grain"	"grain"	619146.76	7091015.134	"5074"
251	47744.72255	"plough"	"plough"	"grain"	"grain"	619043.01	7090914.123	"5077"
252	226073.9395	"plough"	"plough"	"grain"	"grain"	618449.565	7090492.667	"5099"
253	86112.4575	"plough"	"plough"	"grain"	"grain"	617601.0825	7091540.006	"5114"
254	17830.89575	"stubble"	"plough"	"grain"	"grain"	616432.28	7090509.164	"5116"
255	9418.408	"plough"	"plough"	"grain"	"grain"	616313.5663	7090554.295	"5118"
256	22207.2483	"stubble"	"plough"	"grain"	"grain"	619414.93	7090790.49	"5148"
257	2097.524	"grass"	"grass"	"grass"	"grass"	618991.7486	7090654.548	"5150"
258	96892.2791	"plough"	"plough"	"grain"	"grain"	616923.865	7090854.833	"5157"
259	114579.1306	"plough"	"plough"	"grain"	"grain"	617680.8052	7090490.29	"5165"
260	97540.7509	"plough"	"plough"	"plough"	"grain"	616920.3575	7090483.356	"5166"
