"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"	"initial1"	"initial2"	"initial3"	"initial4"
55	3639.0417	"plough"	"plough"	"grass"	"grass"	616087.9475	7088848.369	"746"	0	0	294971.548969854	0
56	17845.954	"stubble"	"plough"	"grain"	"grain"	616038.13	7089353.35	"747"	478832.562750272	0	776086.096504854	0
57	7964.88465	"grass"	"grass"	"grass"	"grass"	616140.7011	7088687.148	"754"	692878.920868395	0	0	0
58	18014.62095	"grass"	"grass"	"grass"	"grass"	616013.505	7088964.018	"755"	1639481.00251786	0	0	0
59	5240.1309	"grass"	"grass"	"grass"	"grass"	614991.465	7102066.481	"836"	397527.110859944	0	0	0
60	21723.43135	"grass"	"grass"	"grass"	"grass"	615110.7	7102201.916	"863"	1810492.20801072	0	0	0
61	2504.4155	"grass"	"grass"	"grass"	"grass"	615072.5577	7102046.456	"866"	188209.125751384	0	0	0
62	7688.72015	"grass"	"grass"	"grass"	"grass"	615061.725	7101286.941	"868"	669332.631510595	0	0	0
63	35501.7233	"stubble"	"grain"	"grain"	"grain"	615905.0505	7102704.88	"2439"	2883.822554839	1439390.63730293	0	0
64	1029.488	"plough"	"grain"	"grain"	"grain"	615614.579	7102706.154	"2709"	0	66227.6885314465	0	0
65	975.20365	"plough"	"plough"	"plough"	"grain"	619501.7346	7087497.403	"4106"	0	0	0	58681.7974774405
66	17068.4147	"grass"	"grass"	"grass"	"grass"	617088.11	7086967.662	"4115"	1301554.96081205	0	0	0
67	19791.5282	"grass"	"grass"	"grain"	"grain"	618482.14	7087364.273	"4121"	1607161.93978615	0	1190135.90290652	0
68	208952.0468	"grass"	"grass"	"grass"	"grass"	617884.905	7087288.815	"4123"	17627342.029602	0	0	0
69	61879.3258	"stubble"	"plough"	"grain"	"grain"	619324.7775	7087710.791	"4125"	484797.101646662	0	3851941.55885279	0
70	34009.6401	"plough"	"plough"	"grain"	"plough"	619448.1	7087637.552	"4126"	0	0	2800301.8834373	0
71	9459.58685	"stubble"	"plough"	"plough"	"grain"	619410.9894	7087515.969	"4127"	528792.399801965	0	0	498529.790138804
72	17171.1527	"grass"	"grass"	"grain"	"grain"	618340.045	7087396.657	"4135"	1434042.93907847	0	1138428.92314228	0
